YO
VER
COMER
BIEN
NO
PENSAR
DECIR
UNO
CIEN
IGUAL
IR
YA
DOS
CAMINAR-PERSONA
AHORA
NIÑO
TRES
HACER
DORMIR
DENTRO
MI
GUARDAR
HOY
IDEA
AYUDAR
COMPRAR
ESPERAR
OYE
ESCRIBIR
CUANTO
AMIGO
CASA
QUÉ
SOL
DINERO
SENTIR
HOLA
SABER
